"PU","NAME","WGMS_ID","SURVEY_DATE","REFERENCE_DATE","AREA","ANNUAL_BALANCE","ANNUAL_BALANCE_UNC","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS"
"SJ","GROENFJORD E",3947,19869999.0000000,19859999.0000000,,-690,,,,"Data from Cogley (2008, updated 2013) based on: Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","GROENFJORD E",3947,19879999.0000000,19869999.0000000,,-460,,,,"Data from Cogley (2008, updated 2013) based on: Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","GROENFJORD W",3946,19669999.0000000,19659999.0000000,,-330,,,,"Data from Cogley (2008, updated 2013) based on: Troitskiy et al. (1975); Oledenenie Shpitsbergena (Sval'barda).",
"SJ","GROENFJORD W",3946,19679999.0000000,19669999.0000000,,-340,,,,"Data from Cogley (2008, updated 2013) based on: Troitskiy et al. (1975); Oledenenie Shpitsbergena (Sval'barda).",
"SJ","HANSBREEN",306,19891001.0000000,19880910.0000000,57.0000000,-90,,"Jania J. (US/FES)","US/FES: Faculty of Earth Sciences, University of Silesia","Data from Dyurgerov, M.(2002): [21, 22, 23, 69, 74, 75, 86] For detailed reference information consult Dyurgerov's Appendix 1!",
"SJ","HANSBREEN",306,19909999.0000000,19899999.0000000,56.7400000,-550,,"Jania J. (US/FES)","US/FES: Faculty of Earth Sciences, University of Silesia","Data from Dyurgerov, M.(2002): [21, 22, 23, 69, 74, 75, 86] For detailed reference information consult Dyurgerov's Appendix 1!",
"SJ","HANSBREEN",306,19910917.0000000,19900910.0000000,56.7600000,130,,"Jania J. (US/FES)","US/FES: Faculty of Earth Sciences, University of Silesia"," WGMS (1998): FoG 1990-1995 (Vol. VII).","Data from Dyurgerov, M.(2002): AAR = 54 [21, 22, 23, 69, 74, 75, 86] For detailed reference information consult Dyurgerov's Appendix 1!"
"SJ","HANSBREEN",306,19920928.0000000,19910917.0000000,56.7600000,-270,,"Jania J. (US/FES)","US/FES: Faculty of Earth Sciences, University of Silesia"," WGMS (1998): FoG 1990-1995 (Vol. VII).","Data from Dyurgerov, M.(2002): ELA = 380, AAR = 27  [21, 22, 23, 69, 74, 75, 86] For detailed reference information consult Dyurgerov's Appendix 1!"
"SJ","HANSBREEN",306,19931111.0000000,19920928.0000000,56.7600000,-670,,"Jania J. (US/FES)","US/FES: Faculty of Earth Sciences, University of Silesia"," WGMS (1998): FoG 1990-1995 (Vol. VII).","Data from Dyurgerov, M.(2002): ELA = 400, AAR = 22 [21, 22, 23, 69, 74, 75, 86] For detailed reference information consult Dyurgerov's Appendix 1!"
"SJ","HANSBREEN",306,19941012.0000000,19931111.0000000,56.7600000,150,,"Jania J. (US/FES)","US/FES: Faculty of Earth Sciences, University of Silesia"," WGMS (1998): FoG 1990-1995 (Vol. VII).","Data from Dyurgerov, M.(2002): [21, 22, 23, 69, 74, 75, 86] For detailed reference information consult Dyurgerov's Appendix 1!"
"SJ","HANSBREEN",306,19951012.0000000,19941012.0000000,56.7600000,-400,,"Jania J. (US/FES)","US/FES: Faculty of Earth Sciences, University of Silesia"," WGMS (1998): FoG 1990-1995 (Vol. VII).","Data from Dyurgerov, M.(2002): ELA = 390, AAR = 25 [21, 22, 23, 69, 74, 75, 86] For detailed reference information consult Dyurgerov's Appendix 1!"
"SJ","HANSBREEN",306,19981010.0000000,19971008.0000000,56.7600000,-600,,"Gadek B. (SUP)","SUP: Department of Geomorphology, University of Silesia"," WGMS (2005): FoG 1995-2000 (Vol. VIII).",
